model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
mobilenet_v3_small,1731689249.8824706,1731689249.893069,1731689249.8999445,1731689249.9183202,1731689249.8936095,1731689249.918341,1731689249.9192417,1731689249.9154491
mobilenet_v3_small,1731689249.9157455,1731689249.925711,1731689249.9327812,1731689249.9551024,1731689249.926141,1731689249.9551287,1731689249.9561188,1731689249.9522672
mobilenet_v3_small,1731689249.9524453,1731689249.9627202,1731689249.9699948,1731689249.9948516,1731689249.9631767,1731689249.9948769,1731689249.9957826,1731689249.9920585
mobilenet_v3_small,1731689249.9923768,1731689250.0026941,1731689250.0094488,1731689250.0299973,1731689250.003153,1731689250.030021,1731689250.0311298,1731689250.0272596
mobilenet_v3_small,1731689250.0274348,1731689250.0386653,1731689250.0467348,1731689250.083716,1731689250.0392172,1731689250.0837455,1731689250.0848267,1731689250.081335
mobilenet_v3_small,1731689250.0815208,1731689250.0923488,1731689250.100021,1731689250.138774,1731689250.0928953,1731689250.138799,1731689250.1399899,1731689250.1362135
mobilenet_v3_small,1731689250.1365921,1731689250.1467652,1731689250.1547189,1731689250.1806397,1731689250.147218,1731689250.180662,1731689250.1815925,1731689250.177785
mobilenet_v3_small,1731689250.1779556,1731689250.1879418,1731689250.1944473,1731689250.2139804,1731689250.188405,1731689250.2140052,1731689250.2149935,1731689250.2112324
mobilenet_v3_small,1731689250.211416,1731689250.2220004,1731689250.2286625,1731689250.24767,1731689250.2225094,1731689250.247694,1731689250.2486284,1731689250.2449155
mobilenet_v3_small,1731689250.2451231,1731689250.255382,1731689250.2622504,1731689250.2968464,1731689250.2558646,1731689250.296869,1731689250.2980442,1731689250.294424
mobilenet_v3_small,1731689250.2946692,1731689250.3049178,1731689250.3119385,1731689250.3338392,1731689250.3053842,1731689250.3338633,1731689250.3348112,1731689250.3311427
mobilenet_v3_small,1731689250.3313422,1731689250.3415382,1731689250.3478904,1731689250.3659985,1731689250.3420022,1731689250.3660195,1731689250.3668435,1731689250.363218
mobilenet_v3_small,1731689250.3634834,1731689250.3732035,1731689250.379253,1731689250.3967447,1731689250.3736882,1731689250.3967664,1731689250.3975546,1731689250.3936481
mobilenet_v3_small,1731689250.393904,1731689250.4045396,1731689250.4108922,1731689250.4322145,1731689250.4050136,1731689250.4322371,1731689250.433277,1731689250.4296994
mobilenet_v3_small,1731689250.429961,1731689250.4404967,1731689250.4470816,1731689250.4680514,1731689250.4409888,1731689250.4680746,1731689250.4690595,1731689250.4654572
mobilenet_v3_small,1731689250.4656754,1731689250.4765878,1731689250.4828515,1731689250.5018132,1731689250.4770448,1731689250.5018318,1731689250.5027862,1731689250.4991329
mobilenet_v3_small,1731689250.49939,1731689250.5098755,1731689250.5161235,1731689250.5350902,1731689250.5103052,1731689250.535108,1731689250.5360477,1731689250.5321538
mobilenet_v3_small,1731689250.5323248,1731689250.542835,1731689250.5494993,1731689250.5692265,1731689250.5433273,1731689250.5692518,1731689250.5700846,1731689250.5660326
mobilenet_v3_small,1731689250.566214,1731689250.5764856,1731689250.5829327,1731689250.6029298,1731689250.5769498,1731689250.6029525,1731689250.6039174,1731689250.6001847
mobilenet_v3_small,1731689250.6003728,1731689250.6110382,1731689250.6177871,1731689250.6377833,1731689250.6115563,1731689250.6378083,1731689250.6388104,1731689250.6350691
mobilenet_v3_small,1731689250.6352801,1731689250.645691,1731689250.6521952,1731689250.6832285,1731689250.6461525,1731689250.683253,1731689250.6841946,1731689250.6804962
mobilenet_v3_small,1731689250.6807241,1731689250.691357,1731689250.6977615,1731689250.717142,1731689250.6918628,1731689250.7171662,1731689250.7181752,1731689250.7143373
mobilenet_v3_small,1731689250.7145903,1731689250.725152,1731689250.7316,1731689250.7503667,1731689250.7256835,1731689250.7503881,1731689250.751452,1731689250.747653
mobilenet_v3_small,1731689250.7478518,1731689250.7593908,1731689250.7661695,1731689250.7855356,1731689250.760111,1731689250.7855546,1731689250.786322,1731689250.7824652
mobilenet_v3_small,1731689250.7826867,1731689250.7933545,1731689250.800736,1731689250.8198082,1731689250.7941382,1731689250.819831,1731689250.8207972,1731689250.8168776
mobilenet_v3_small,1731689250.817042,1731689250.827165,1731689250.8338165,1731689250.8527198,1731689250.8276448,1731689250.8527398,1731689250.8537593,1731689250.8498156
mobilenet_v3_small,1731689250.8499856,1731689250.8599527,1731689250.86663,1731689250.8849804,1731689250.8603804,1731689250.8850005,1731689250.8858862,1731689250.8819783
mobilenet_v3_small,1731689250.8821962,1731689250.8921118,1731689250.8987179,1731689250.917233,1731689250.892583,1731689250.917255,1731689250.918137,1731689250.9140203
mobilenet_v3_small,1731689250.9141762,1731689250.923991,1731689250.9305644,1731689250.9490225,1731689250.924456,1731689250.9490418,1731689250.9499238,1731689250.9460402
mobilenet_v3_small,1731689250.9462433,1731689250.9565008,1731689250.9633682,1731689250.9839208,1731689250.9569356,1731689250.9839418,1731689250.9849193,1731689250.9810174
mobilenet_v3_small,1731689250.9812107,1731689250.9917147,1731689250.9978921,1731689251.016041,1731689250.9921498,1731689251.0160604,1731689251.0170255,1731689251.0129938
mobilenet_v3_small,1731689251.0131707,1731689251.0231555,1731689251.029258,1731689251.0480475,1731689251.0236213,1731689251.0480688,1731689251.0490043,1731689251.045179
mobilenet_v3_small,1731689251.0454392,1731689251.055622,1731689251.0617764,1731689251.0807424,1731689251.056044,1731689251.0807617,1731689251.0817046,1731689251.077797
mobilenet_v3_small,1731689251.0779715,1731689251.0888073,1731689251.0951753,1731689251.113801,1731689251.0892704,1731689251.1138191,1731689251.1148024,1731689251.1107972
mobilenet_v3_small,1731689251.1109624,1731689251.1211517,1731689251.1272511,1731689251.1458557,1731689251.1216123,1731689251.1458733,1731689251.14676,1731689251.1427577
mobilenet_v3_small,1731689251.1429572,1731689251.1535506,1731689251.1601954,1731689251.179596,1731689251.154035,1731689251.1796176,1731689251.1804857,1731689251.1766677
mobilenet_v3_small,1731689251.1768465,1731689251.1869233,1731689251.1931894,1731689251.2153978,1731689251.1873631,1731689251.21542,1731689251.2163742,1731689251.213133
mobilenet_v3_small,1731689251.2133305,1731689251.223806,1731689251.2302866,1731689251.2487707,1731689251.2242463,1731689251.2487888,1731689251.2497132,1731689251.2457206
mobilenet_v3_small,1731689251.2458823,1731689251.2559316,1731689251.2621486,1731689251.2810285,1731689251.2563624,1731689251.2810457,1731689251.2818043,1731689251.2779956
mobilenet_v3_small,1731689251.2782063,1731689251.2884097,1731689251.2950695,1731689251.3189323,1731689251.2888684,1731689251.3189533,1731689251.319859,1731689251.3170075
mobilenet_v3_small,1731689251.3172245,1731689251.327722,1731689251.3345888,1731689251.3543458,1731689251.32815,1731689251.354365,1731689251.3553028,1731689251.3519337
mobilenet_v3_small,1731689251.3521771,1731689251.3625684,1731689251.3689284,1731689251.392453,1731689251.3629818,1731689251.3924885,1731689251.3934562,1731689251.3897054
mobilenet_v3_small,1731689251.3899205,1731689251.3999965,1731689251.4062028,1731689251.426882,1731689251.4004183,1731689251.426904,1731689251.4278708,1731689251.4241865
mobilenet_v3_small,1731689251.424475,1731689251.434414,1731689251.440695,1731689251.4601927,1731689251.434884,1731689251.4602153,1731689251.4611828,1731689251.4574187
mobilenet_v3_small,1731689251.45778,1731689251.467811,1731689251.4749498,1731689251.5043843,1731689251.4682608,1731689251.5044084,1731689251.5052853,1731689251.501507
mobilenet_v3_small,1731689251.5017622,1731689251.5125902,1731689251.5190742,1731689251.5439997,1731689251.5132673,1731689251.5440207,1731689251.5450144,1731689251.5412934
mobilenet_v3_small,1731689251.5414658,1731689251.5518575,1731689251.5581667,1731689251.581907,1731689251.5523279,1731689251.5819294,1731689251.582912,1731689251.5790358
mobilenet_v3_small,1731689251.5792396,1731689251.5899098,1731689251.5985987,1731689251.6312208,1731689251.590346,1731689251.6312418,1731689251.632661,1731689251.62884
mobilenet_v3_small,1731689251.6290417,1731689251.639316,1731689251.6453729,1731689251.6764019,1731689251.6397767,1731689251.6764228,1731689251.6774175,1731689251.6736765
mobilenet_v3_small,1731689251.6739202,1731689251.6842284,1731689251.690446,1731689251.7132406,1731689251.6847477,1731689251.7132602,1731689251.7141025,1731689251.7102125
mobilenet_v3_small,1731689251.7104526,1731689251.7204933,1731689251.726556,1731689251.7437086,1731689251.7209072,1731689251.7437274,1731689251.7446375,1731689251.7408056
mobilenet_v3_small,1731689251.7409854,1731689251.751153,1731689251.7571638,1731689251.7802422,1731689251.7516472,1731689251.780261,1731689251.781208,1731689251.7774594
mobilenet_v3_small,1731689251.777738,1731689251.7879574,1731689251.7939625,1731689251.812073,1731689251.7883708,1731689251.8120906,1731689251.813076,1731689251.8090172
